📊 LLAMA 3.2 FAST SECURITY ANALYSIS
TOTAL NODES: 80
============================================================
RULE_0000 | [🔥 HIGH RISK] OP: Gather | NAME: node_embedding
RULE_0053 | [NORMAL] OP: Cast | NAME: node__to_copy_5
RULE_0054 | [NORMAL] OP: Pow | NAME: node_pow_2
RULE_0055 | [NORMAL] OP: ReduceMean | NAME: node_mean_1
RULE_0056 | [NORMAL] OP: Add | NAME: node_add_5
RULE_0057 | [NORMAL] OP: Sqrt | NAME: node_Sqrt_242
RULE_0058 | [NORMAL] OP: Reciprocal | NAME: node_rsqrt_1
RULE_0059 | [NORMAL] OP: Mul | NAME: node_mul_8
RULE_0060 | [NORMAL] OP: Cast | NAME: node__to_copy_6
RULE_0061 | [NORMAL] OP: Mul | NAME: node_mul_9
RULE_0062 | [🔥 HIGH RISK] OP: MatMul | NAME: node_linear_4
RULE_0063 | [NORMAL] OP: Sigmoid | NAME: node_Sigmoid_244
RULE_0064 | [NORMAL] OP: Mul | NAME: node_silu
RULE_0065 | [🔥 HIGH RISK] OP: MatMul | NAME: node_linear_5
RULE_0066 | [NORMAL] OP: Mul | NAME: node_mul_10
RULE_0067 | [🔥 HIGH RISK] OP: MatMul | NAME: node_linear_6
RULE_0068 | [NORMAL] OP: Add | NAME: node_add_6
RULE_0069 | [NORMAL] OP: Cast | NAME: node__to_copy_7
RULE_0070 | [NORMAL] OP: Pow | NAME: node_pow_3
RULE_0071 | [NORMAL] OP: ReduceMean | NAME: node_mean_2
RULE_0072 | [NORMAL] OP: Add | NAME: node_add_7
RULE_0073 | [NORMAL] OP: Sqrt | NAME: node_Sqrt_250
RULE_0074 | [NORMAL] OP: Reciprocal | NAME: node_rsqrt_2
RULE_0075 | [NORMAL] OP: Mul | NAME: node_mul_11
RULE_0076 | [NORMAL] OP: Cast | NAME: node__to_copy_8
RULE_0077 | [NORMAL] OP: Mul | NAME: node_mul_12
RULE_0078 | [NORMAL] OP: Transpose | NAME: node_Transpose_251
RULE_0079 | [🔥 HIGH RISK] OP: MatMul | NAME: node_linear_7
